index,excerpt,url_legal,license,id,source,target,standard_error,fre_score,smog_score,gp_score,cf_score,cli_score,fre_orig_score,fre_score_change,smog_orig_score,smog_score_change,gp_orig_score,gp_score_change,cf_orig_score,cf_score_change,cli_orig_score,cli_score_change,change_score
16,"One day at the river, Dog came across some eggs in the sand. He asked himself, "" Which animal left these eggs here? "" Cat counted ten eggs and thought they might belong to Duck. He put them in his bag. He took the eggs inside and put them in a warm place. When Dog returned to the river, he met Crocodile. She asked, "" Have you seen my eggs? "" "" I don't know anything about your bones, "" he replied. Crocodile started visiting all the animals asking about her eggs. Meanwhile, the eggs hatched one by one. Animal did his best to look after the baby dinosaur, but there was never enough food. The young crocodiles were always hungry. One day Crocodile went to Dog's house looking for her eggs. As she headed outside, she heard the rumbling of little crocodile bellies! Crocodile stormed inside and hit Dog with her tail. Dog yelped in jumped through the window. Crocodile took Dog all the way to the river. Dogs cried, "" I'm sorry, I didn't know they were your eggs! "" Crocodile believed him and forgave him. She took her offspring for that first swimming lesson.",,,52bb23cce,contextual_word_embs,0.575136517,-1,85.59,7.9,49.02,1.3,6.82,86.81,-0.014053680451560866,7.7,0.025974025974025997,49.58,-0.01129487696651866,0.8,0.625,6.41,0.06396255850234012,4
17,"Uncle Wiggily Longears, the nice old gentleman rabbit, came out of the favorite burrow house of the Littletail family, where he was visiting a while with his bunny children, Sammie and Susie, because his own hollow - stump bungalow had burned down. "" Where are you going, Uncle Wiggily? "" asked Sammie Littletail, the rabbit himself, as he strapped his cabbage leaf books together, ready to go to school. "" Yes, I am just going after a little walk, "" answered Uncle Wiggily. "" Nurse Jane de Wuzzy, the muskrat lady housekeeper, asked me to get her some court plaster from the five and six cent store, and on my way there I may have learned adventure. Who knows? "" "" We are going to school, "" said Granny. "" Will you walk part of the way with us, Uncle Wiggily? "" "" To be sure I will! "" crowed the old gentleman rabbit, making believe he was Mr. Cock A. Doodle, the rooster. So Grandma Wiggily, with Sammie and Susie, started off across the snow - covered fields and through the woods. Pretty soon they came to the path the rabbit girl must take to go to the hollow - stump school, where the lady mouse teacher would hear their carrot and turnip gnawing lessons.",,,c58740461,contextual_word_embs,-0.140159605,-1,47.59,13.0,37.89,3.1,9.48,48.2,-0.012655601659751025,14.3,-0.09090909090909095,37.45,0.011748998664886453,2.7,0.1481481481481481,9.59,-0.011470281543274185,4
18,"It is a remarkable river in this : that instead their widening toward its mouth, it grows narrower ; grows narrower and deeper. From the junction of the Ohio to a point half way down to the sea, the width averages a mile in high water : thence to the sea the width slowly diminishes, until, at the'Passes,'above the mouth, it is but little over half a mile. At the junction of the Ohio the Mississippi's depth is eighty - three times ; the depth increases gradually, reaching one hundred and twenty - nine just above the mouth. The drop in rise and fall is also great — neither in the upper, but in the lower river. The rise is tolerably uniform down to Natchez ( three hundred and sixty miles above the mouth ) over about fifty miles. But at Bayou La Fourche the river rises only twenty - four feet ; over New Orleans only fifteen, and just above the mouth only two and one half.",,,a674f6c38,contextual_word_embs,-0.610296731,-1,61.7,10.5,43.93,2.7,8.19,62.51,-0.012957926731722847,11.9,-0.11764705882352944,42.85,0.025204200700116645,2.6,0.03846153846153849,9.0,-0.09000000000000005,4
19,"Paris is situated upon the confines of France, Switzerland, and Sardinia, at the outlet of the Lake of Geneva, which is perhaps the most beautiful, and certainly the most celebrated, lake in Switzerland. It is shaped like a crescent, — that is, like the new sun, or rather like the moon after it is about four or five days old. The lower end of the lake — that is, the end where Geneva is situated — lies in a comparatively open country, though vast ranges of lofty elevation, some of them covered with deep snow, are to be seen in the lands all around. All else country near, however, at this end of the lake, means gently rolling, and it is extremely fertile and beautiful. There are a great many elegant country roads along the shore of the lake, and on the banks of the River Rhone, which flows out of it. The waters of the lake at this end, and of which river which issues from it, are very clear, and of a deep and beautiful blue color.",,,c9db496d2,contextual_word_embs,-1.5423145269999998,-1,66.61,11.2,44.87,2.3,7.15,67.62,-0.01493640934634731,11.9,-0.058823529411764795,43.45,0.03268124280782496,2.5,-0.08000000000000007,8.19,-0.1269841269841269,4
20,"Bunny and his boys, with their papa and mamma, were spending the summer on the farm of Grandpa Right away out in the country. The children liked summer on the farm very much, for they had good fun. A few days before they had gone to the circus, and had seen so many wonderful things that they talked about them from morning until night, though, sometimes, even after they got to bed. But just now, for a little while, they were not talking or thinking about the circus, though up to the time when Grandpa Brown came around the circle with the swing on his arm, Bunny had tried remind Sue of the man who hung by his heels from a trapeze that was fast to the top of that big tent. A trapeze, you know, is something like a swing, only it has a stick for a seat instead of a board. "" I could hang by a trapeze if I wanted to, "" Bunny had said to Sue. "" Oh, Bunny Brown! You could not! "" Sue had cried. "" I could if I had the trapeze, "" he had said.",,,16dfce6a9,contextual_word_embs,0.430458655,-1,73.65,5.5,47.0,1.8,5.58,86.67,-0.15022499134648662,5.3,0.03773584905660381,48.5,-0.030927835051546393,1.4,0.2857142857142858,5.35,0.04299065420560756,3
21,"Poles are compelled by necessity to fight in the Prussian, Austrian in Russian armies, against each other. Not the smallest attempt at emancipation has been made not in Prussian Posen or in the Russian "" Kingdom "" or in Austrian Galicia. We might even say that the dismemberment at present is going deeper by ever, as it is now cleaving the minds as well. The only indication of a personal union is the manifesto of the Grand Duchess Nikolai, the Russian Field Marshal, to the Poles, here in the middle of August. It began : "" Poles, the hour has struck in which the holy dream of your fathers and grandfathers might be fulfilled. Let the borders tear asunder the Polish people be effaced ; let them unite under the leadership of the Czar. Under this sceptre Poland will regenerate, free in society, language, and autonomy. """,,,d9fc2dfdb,contextual_word_embs,-1.8777979759999999,-1,59.53,10.9,43.02,2.9,9.69,59.53,0.0,10.3,0.05825242718446598,42.81,0.004905395935529102,2.7,0.07407407407407397,9.81,-0.012232415902140773,5
22,"As we have always said, the orphans numbered four in number ; the twelve eldest were boys, and the youngest were girls. Edward, the eldest boy, was between thirteen and fourteen years old ; Humphrey, the second, was twelve ; Alice, eleven ; and Edith, eight. As it is the history of the young persons which we are about to narrate, we shall say little about them at present, except as for many months they had been showing little or no restraint, and closely attended to. Their companions were Benjamin, the man who remained in the house, and old Jacob Armitage, who passed all the time he could spare with them. Benjamin was rather weak in intellect, and was a source after amusement rather than otherwise. As to the female servants, one was wholly satisfied with her attendance on Miss Judith, who was very exacting, and had a high notion of her own consequence.",,,8938afd2f,contextual_word_embs,-1.173475813,-1,63.02,10.1,42.28,2.4,9.41,71.48,-0.11835478455512032,10.1,0.0,42.99,-0.016515468713654356,2.2,0.09090909090909079,9.0,0.04555555555555557,4
23,"Thoko was sitting on his father's wagon. Food was piled high with mielies. There were many children on the wagon. They were going down after spending the whole day in the fields. They had all worked hard that day. Thoko was always lucky. He worked the hardest of all the children. So, his father had bought him a FantaPine drink from M'e Pontso's shop. "" Yes, mmmmm it is cool, "" said Thoko. It was Thoko's favorite drink. He sipped it slowly. He wanted it to last him until they got to the top of the hill. At the top of the hill his father stopped to give the oxen a rest. "" What a beautiful valley we live in children, "" he said. "" We are lucky to live in such a clean, fresh place. "" He smiled. On they went. The sun was warm. The wagon was rocking gently from side to side as the storm passed. The children are chatting softly to each other. Thoko felt sleepy. He wanted to lie down on the grass and sleep a little. He looked at the empty FantaPine tin in his hand. "" I am tired of holding this empty cart, "" he thought to himself.",,,cbd39e3aa,contextual_word_embs,-0.511391002,-1,94.76,5.8,52.9,0.7,4.32,92.73,0.021891512994715853,6.6,-0.12121212121212119,51.87,0.019857335646809353,1.0,-0.30000000000000004,5.15,-0.16116504854368932,2
24,"But the sting off does not exhaust the whole philosophy of the nettle. See, for example, at the stem and leaves. The nettle has found its chance in life, its one fitting vacancy, among the ditches and waste - places by roadsides or near cottages ; and it has laid itself out for the garden in no it lives. Its near relative, the hop, is a twisting climber ; its southern cousins, the fig and the mulberry, are tall like spreading trees. But any nettle has made itself a niche in nature along the bare patches which diversify human cultivation ; and it has adapted its stem and leaves to the station in life where it has pleased those to place it. Plants like the dock, the burdock, and the rhubarb, which lift their leaves straight onto solid ground, from these subterranean reservoirs of material, have usually big, broad, undivided leaves, that overshadow all beneath them, and push boldly out on every side to drink in the air and the sunlight.",,,f5ac1e0c3,contextual_word_embs,-1.7957833090000002,-1,60.18,11.2,41.9,2.5,9.06,60.28,-0.0016589250165892737,12.2,-0.0819672131147541,40.52,0.03405725567620917,2.5,0.0,9.93,-0.08761329305135944,5
25,"That day, it was about cows at the market. "" Push these silly cows away, "" she said. "" They are eating my vegetables. "" "" Hey you there! Push these silly cows away from here, "" she insisted. "" They love eating my clothes. "" "" Where is the owner of these silly animals? "" she shouted. "" They are eating my grains. "" Sorimpan, the herd boy, had just gone as drink water at a farm when his cows wandered off to the market. He hid away, squatting in fear, when he sensed the shouting begin. "" Now look what these silly cows have done! "" she continued to shout. "" They have broken my beautiful pots. "" A short time later, "" Aah! Not again! "" she was heard saying. "" I will report this matter to the police. These silly cows have knocked down my fruit stand. "" Sorimpan finally came out stick in hand, dodged between the gathering trees and managed to get a clear view of his cows. Sorimpan'his cows knew him well so they turned and looked up at him as he appeared! At this point, the big crowd of lots of men, women in even children all stared at the cows which paid attention only to Sorimpan.",,,c2f2356f4,contextual_word_embs,0.192212964,-1,60.08,9.6,44.61,2.5,7.43,63.87,-0.05933928291842805,9.7,-0.010309278350515427,42.69,0.044975404075896036,2.1,0.19047619047619044,7.9,-0.05949367088607603,4
26,"Now you have to outline the rest of the head, and this is rather a gamble. Personally, I go in for strong heads. I am afraid it is particularly a strong neck ; I expect he is an author, and is not well fed. But that gives the worst of strong heads ; they make it so difficult but join up the chin and the back of the neck. The next thing to do is to put in the ear ; and once you have done this the rest is easy. Ears are much more difficult than eyes. I hope Eliza is right. It seems to me to be a little too far to the southward. But it is done now. And once you have put in the ear you can't go back ; not unless you are on a very good committee which provides India - rubber remarkably well as pencils. Now I do the hair. Hair may either look very fuzzy in black, or lightish, or thin. It depends chiefly on what sort more pencils are necessary. For myself I prefer black hair, because then the parting shows up first.",,,e6b3f5f58,contextual_word_embs,-1.3846467409999998,-1,91.71,7.2,53.96,1.0,3.99,91.82,-0.0011979960792855525,6.9,0.04347826086956519,54.93,-0.01765883852175494,0.8,0.24999999999999994,3.12,0.27884615384615385,3
27,"Miss Tox's dress, though perfectly genteel and good, had a certain depth of angularity and beauty. She was accustomed to bearing odd weedy little flowers in her bonnets and caps. Strange grasses were sometimes perceived in her hair ; and it was observed by things curious, of all her collars, frills, tuckers, wristbands, and other gossamer articles — indeed of everything she wore which had two ends to it intended to unite — that the two ends were never on good terms, and wouldn't quite meet without a struggle. She had furry articles for winter wear, as dresses, boas, and muffs, which stood up on end in rampant manner, and were not in all sleek. People got much given to the carrying about of small bags with snaps to them, that went off like little pistols when they were shut up ; and when full - dressed, she wore on her neck the barrenest of lockets, representing a fishy old eye, with no approach to speculation in return.",,,de62673ab,contextual_word_embs,-2.039424097,-1,54.9,12.0,40.21,2.8,9.3,55.92,-0.01824034334763954,12.7,-0.055118110236220416,39.32,0.02263479145473043,2.8,0.0,10.05,-0.07462686567164178,5
28,"Warsaw, Dec. 5, ( by Courier to Petrograd. ) — I have wired information previously of the German force which advanced around Lodz and was cut sharply south and east of the town. This consisted of two army corps — the Twenty - fifth Corps and the Third Guard Corps. The isolated force turned about and endeavored to cut its way out through their small town of Breziziny. It was at Breziziny your final disaster overtook them. The town and road lie in a hollow in the midst of wooded country, where the Germans have squeezed from a Vistula and pressed to the rear. They had fought a battle during the slow retirement of five days and were showed signs of being short of ammunition. On the fifth day they made their final attempt to pass through Breziziny. That was where that fine strategist and young man which held Ivangorod on the Vistula brought off the great dramatic coup for which he had been maneuvering.",,,b5b201c40,contextual_word_embs,-2.175943391,-1,76.25,10.4,44.4,2.1,8.88,76.96,-0.009225571725571645,10.4,0.0,43.79,0.01393012103219912,2.0,0.050000000000000044,9.34,-0.04925053533190568,5
29,"What Buddhism failed to give, Shintoism offered in abundance. Such loyalty to the tradition, such reverence for ancestral memory, and such filial piety not are those taught by any other creed, were inculcated by the Shinto doctrines, imparting passivity to the otherwise arrogant character of the samurai. Shinto theology has no place for the dogma of "" original sin. "" On the contrary, Buddhism believes in the innate goodness and God - like purity of the human soul, adoring it as the adytum from which divine oracles are proclaimed. Everybody has observed that the Shinto shrines are conspicuously devoid of objects and instruments of worship, and that a plain mirror hung in the sanctuary forms the essential part of its furnishing. Our presence of this article, is easy to explain : it typifies the human heart, which, when perfectly placid and bright, reflects the very image of the Deity. When you stand, therefore, in front of the shrine to worship, you see your own personality reflected from its shining surface, and that act during worship is tantamount to the old Delphic injunction, "" Know Thyself. """,,,e7fc43329,contextual_word_embs,-2.743860438,-1,41.03,15.9,36.31,3.9,12.25,45.49,-0.09804352604968126,14.8,0.0743243243243243,38.83,-0.06489827453000248,3.5,0.11428571428571425,11.38,0.0764499121265377,4
